DATE,USERS
06/30/2019,95697
07/01/2019,164446
07/02/2019,175995
07/03/2019,171765
07/04/2019,125634
07/05/2019,147483
07/06/2019,120386
07/07/2019,98506
07/08/2019,170669
07/09/2019,167044
07/10/2019,168231
07/11/2019,179767
07/12/2019,178980
07/13/2019,134459
07/14/2019,108192
07/15/2019,172357
07/16/2019,174876
07/17/2019,148508
07/18/2019,174388
07/19/2019,160041
07/20/2019,114029
07/21/2019,96341
07/22/2019,157188
07/23/2019,170438
07/24/2019,164942
07/25/2019,159522
07/26/2019,153437
07/27/2019,113763
07/28/2019,97678
07/29/2019,158042
07/30/2019,170999
07/31/2019,155008
08/01/2019,157368
08/02/2019,152659
08/03/2019,116457
08/04/2019,97741
08/05/2019,160537
08/06/2019,173477
08/07/2019,158821
08/08/2019,159456
08/09/2019,137530
08/10/2019,117992
08/11/2019,100350
08/12/2019,158085
08/13/2019,177422
08/14/2019,173244
08/15/2019,163240
08/16/2019,157375
08/17/2019,116025
08/18/2019,96823
08/19/2019,158819
08/20/2019,162911
08/21/2019,155742
08/22/2019,154873
08/23/2019,146378
08/24/2019,109888
08/25/2019,98058
08/26/2019,157063
08/27/2019,158411
08/28/2019,153184
08/29/2019,158542
08/30/2019,150337
08/31/2019,109131
09/01/2019,90971
09/02/2019,107016
09/03/2019,157470
09/04/2019,158027
09/05/2019,164784
09/06/2019,163969
09/07/2019,123886
09/08/2019,95440
09/09/2019,152023
09/10/2019,155302
09/11/2019,158481
09/12/2019,167653
09/13/2019,158087
09/14/2019,119652
09/15/2019,98136
09/16/2019,147423
09/17/2019,157361
09/18/2019,157398
09/19/2019,152517
09/20/2019,152882
09/21/2019,107604
09/22/2019,98221
09/23/2019,160221
09/24/2019,158530
09/25/2019,153477
09/26/2019,152104
09/27/2019,151405
09/28/2019,110705
09/29/2019,99382
09/30/2019,161561
10/01/2019,158824
10/02/2019,164249
10/03/2019,159935
10/04/2019,159628
10/05/2019,131067
10/06/2019,111679
